"","Region","Year","specialization","seats"
"847","Central",2004,"transport",0
"848","Central",2005,"transport",0
"849","Central",2006,"transport",0
"850","Central",2007,"transport",0
"851","Central",2008,"transport",0
"852","Central",2009,"transport",0
"853","Central",2010,"transport",0
"854","Central",2011,"transport",0
"855","Central",2012,"transport",0
"856","Central",2013,"transport",0
"857","Central",2014,"transport",0
"858","Central",2015,"transport",0
"859","Central",2016,"transport",0
"860","Central",2017,"transport",0
"861","Central",2018,"transport",0
"862","Central",1998,"tropical",0
"863","Central",1999,"tropical",0
"864","Central",2000,"tropical",0
"865","Central",2001,"tropical",0
"866","Central",2002,"tropical",0
"867","Central",2003,"tropical",0
"868","Central",2004,"tropical",0
"869","Central",2005,"tropical",0
"870","Central",2006,"tropical",0
"871","Central",2007,"tropical",0
"872","Central",2008,"tropical",0
"873","Central",2009,"tropical",0
"874","Central",2010,"tropical",0
"875","Central",2011,"tropical",0
"876","Central",2012,"tropical",0
"877","Central",2013,"tropical",0
"878","Central",2014,"tropical",0
"879","Central",2015,"tropical",0
"880","Central",2016,"tropical",0
"881","Central",2017,"tropical",0
"882","Central",2018,"tropical",0
"883","Central",1998,"urine",0
